Model_A,Model_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,Wilcoxon_Stat,Raw_p,Corrected_p,Reject_Null,Better_Model,Significant_Winner
binrushed_fl_finetuned,messidor_fl_finetuned,0.9101500451564789,0.9223125517368317,0.939195156097412,0.9461502134799957,0.06351777688259633,0.06146097597105285,14.0,0.193359375,1.0,False,messidor_fl_finetuned,None
binrushed_fl_finetuned,messidor_persite,0.9101500451564789,0.9124616622924805,0.939195156097412,0.9349119067192078,0.06351777688259633,0.05600940437626966,25.0,0.845703125,1.0,False,messidor_persite,None
binrushed_fl_finetuned,origa_fl_finetuned,0.9101500451564789,0.9059309542179108,0.939195156097412,0.9207028746604919,0.06351777688259633,0.07021787422666037,23.0,0.6953125,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,origa_persite,0.9101500451564789,0.8854324221611023,0.939195156097412,0.9177825748920441,0.06351777688259633,0.0909166999905124,14.0,0.193359375,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,pipeline1,0.9101500451564789,0.9280975043773652,0.939195156097412,0.9497918784618378,0.06351777688259633,0.05500200743224132,14.0,0.193359375,1.0,False,pipeline1,None
binrushed_fl_finetuned,pipeline2,0.9101500451564789,0.9159608662128449,0.939195156097412,0.9398634135723114,0.06351777688259633,0.0635437556008554,26.0,0.921875,1.0,False,pipeline2,None
binrushed_fl_finetuned,pipeline3,0.9101500451564789,0.9301108181476593,0.939195156097412,0.9509844183921814,0.06351777688259633,0.06662536532220621,6.0,0.02734375,1.0,False,pipeline3,None
binrushed_fl_finetuned,refuge_fl_finetuned,0.9101500451564789,0.9154594838619232,0.939195156097412,0.9300084412097931,0.06351777688259633,0.06728688437690586,24.0,0.76953125,1.0,False,refuge_fl_finetuned,None
binrushed_fl_finetuned,refuge_persite,0.9101500451564789,0.8900248289108277,0.939195156097412,0.8966536819934845,0.06351777688259633,0.07174064395296897,13.0,0.16015625,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,rimone_fl_finetuned,0.9101500451564789,0.8368192970752716,0.939195156097412,0.862103134393692,0.06351777688259633,0.10151851583105073,0.0,0.001953125,0.451171875,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,rimone_persite,0.9101500451564789,0.8206531405448914,0.939195156097412,0.8723960816860199,0.06351777688259633,0.1188675452078783,0.0,0.001953125,0.451171875,False,binrushed_fl_finetuned,None
binrushed_persite,central,0.8521483719348908,0.9266114950180053,0.8888274431228638,0.9358182847499847,0.10094082547129016,0.05135214765783128,0.0,0.001953125,0.451171875,False,central,None
binrushed_persite,chaksu_fl_finetuned,0.8521483719348908,0.8764322459697723,0.8888274431228638,0.8827094733715057,0.10094082547129016,0.0868465216209143,19.0,0.431640625,1.0,False,chaksu_fl_finetuned,None
binrushed_persite,chaksu_persite,0.8521483719348908,0.874583625793457,0.8888274431228638,0.8862220644950867,0.10094082547129016,0.07943868819041908,18.0,0.375,1.0,False,chaksu_persite,None
binrushed_persite,drishti_fl_finetuned,0.8521483719348908,0.8872509241104126,0.8888274431228638,0.9083861112594604,0.10094082547129016,0.05972408893755521,15.0,0.232421875,1.0,False,drishti_fl_finetuned,None
binrushed_persite,drishti_persite,0.8521483719348908,0.7264192938804627,0.8888274431228638,0.7724093496799469,0.10094082547129016,0.10034588091816288,4.0,0.013671875,1.0,False,binrushed_persite,None
binrushed_persite,g1020_fl_finetuned,0.8521483719348908,0.882040935754776,0.8888274431228638,0.8796414434909821,0.10094082547129016,0.03984522136735768,22.0,0.625,1.0,False,g1020_fl_finetuned,None
binrushed_persite,g1020_persite,0.8521483719348908,0.8896901249885559,0.8888274431228638,0.8925342559814453,0.10094082547129016,0.04592879295618745,12.0,0.130859375,1.0,False,g1020_persite,None
binrushed_persite,magrabi_fl_finetuned,0.8521483719348908,0.9302805721759796,0.8888274431228638,0.9442634284496307,0.10094082547129016,0.04594639731883515,0.0,0.001953125,0.451171875,False,magrabi_fl_finetuned,None
binrushed_persite,magrabi_persite,0.8521483719348908,0.8543217778205872,0.8888274431228638,0.9101206064224243,0.10094082547129016,0.1164714515102065,27.0,1.0,1.0,False,magrabi_persite,None
binrushed_persite,messidor_fl_finetuned,0.8521483719348908,0.9223125517368317,0.8888274431228638,0.9461502134799957,0.10094082547129016,0.06146097597105285,0.0,0.001953125,0.451171875,False,messidor_fl_finetuned,None
binrushed_persite,messidor_persite,0.8521483719348908,0.9124616622924805,0.8888274431228638,0.9349119067192078,0.10094082547129016,0.05600940437626966,1.0,0.00390625,0.90234375,False,messidor_persite,None
binrushed_persite,origa_fl_finetuned,0.8521483719348908,0.9059309542179108,0.8888274431228638,0.9207028746604919,0.10094082547129016,0.07021787422666037,6.0,0.02734375,1.0,False,origa_fl_finetuned,None
binrushed_persite,origa_persite,0.8521483719348908,0.8854324221611023,0.8888274431228638,0.9177825748920441,0.10094082547129016,0.0909166999905124,17.0,0.322265625,1.0,False,origa_persite,None
binrushed_persite,pipeline1,0.8521483719348908,0.9280975043773652,0.8888274431228638,0.9497918784618378,0.10094082547129016,0.05500200743224132,1.0,0.00390625,0.90234375,False,pipeline1,None
binrushed_persite,pipeline2,0.8521483719348908,0.9159608662128449,0.8888274431228638,0.9398634135723114,0.10094082547129016,0.0635437556008554,4.0,0.013671875,1.0,False,pipeline2,None
binrushed_persite,pipeline3,0.8521483719348908,0.9301108181476593,0.8888274431228638,0.9509844183921814,0.10094082547129016,0.06662536532220621,0.0,0.001953125,0.451171875,False,pipeline3,None
binrushed_persite,refuge_fl_finetuned,0.8521483719348908,0.9154594838619232,0.8888274431228638,0.9300084412097931,0.10094082547129016,0.06728688437690586,3.0,0.009765625,1.0,False,refuge_fl_finetuned,None
binrushed_persite,refuge_persite,0.8521483719348908,0.8900248289108277,0.8888274431228638,0.8966536819934845,0.10094082547129016,0.07174064395296897,11.0,0.10546875,1.0,False,refuge_persite,None
binrushed_persite,rimone_fl_finetuned,0.8521483719348908,0.8368192970752716,0.8888274431228638,0.862103134393692,0.10094082547129016,0.10151851583105073,25.0,0.845703125,1.0,False,binrushed_persite,None
binrushed_persite,rimone_persite,0.8521483719348908,0.8206531405448914,0.8888274431228638,0.8723960816860199,0.10094082547129016,0.1188675452078783,17.0,0.322265625,1.0,False,binrushed_persite,None
central,chaksu_fl_finetuned,0.9266114950180053,0.8764322459697723,0.9358182847499847,0.8827094733715057,0.05135214765783128,0.0868465216209143,1.0,0.00390625,0.90234375,False,central,None
central,chaksu_persite,0.9266114950180053,0.874583625793457,0.9358182847499847,0.8862220644950867,0.05135214765783128,0.07943868819041908,1.0,0.00390625,0.90234375,False,central,None
